チャレンジID,銘柄,日付,番号,方向,数量,建玉時刻,建値,返済時刻,返済値,損益,保有秒,MFE,MAE,建玉待ち秒,返済待ち秒,返済種別
1788057786507,5803,2026-08-28,1,売,100,09:03:27,5415,09:04:33,5393,2200,66,27,4,5,0,指値
1788057786507,5803,2026-08-28,2,売,100,09:05:44,5375.5,09:09:28,5404,-2850,224,29.5,28.5,0,0,指値
1788057786507,5803,2026-08-28,3,売,100,09:05:44,5375.5,09:09:30,5410,-3450,226,29.5,34.5,0,0,指値
1788057786507,5803,2026-08-28,4,買,100,09:09:54,5390,09:10:39,5409,1900,45,22,10,0,0,指値
1788057786507,5803,2026-08-28,5,売,100,09:11:25,5417,09:11:34,5396,2100,9,23,3,34,0,指値
1788057786507,5803,2026-08-28,6,買,100,09:11:45,5377,09:12:06,5373,-400,21,14,6,1,0,指値
1788057786507,5803,2026-08-28,7,売,100,09:12:10,5370,09:12:45,5377,-700,35,3,14,0,0,指値
1788057786507,5803,2026-08-28,8,買,100,09:12:49,5379,09:13:25,5373,-600,36,5,8,0,0,指値
1788057786507,5803,2026-08-28,9,売,100,09:13:28,5369,09:14:26,5380,-1100,58,12,14,0,0,指値
1788057786507,5803,2026-08-28,10,買,100,09:14:39,5362,09:15:05,5354,-800,26,2,12,1,0,指値
1788057786507,5803,2026-08-28,11,売,100,09:15:12,5349,09:15:22,5343,600,10,9,1,0,0,指値
1788057786507,5803,2026-08-28,12,売,100,09:15:50,5361.67,09:18:17,5378,-1633.33,147,18.67,23.33,20,0,指値
1788057786507,5803,2026-08-28,13,売,100,09:15:50,5361.67,09:22:03,5379,-1733.33,373,18.67,23.33,20,1,指値
1788057786507,5803,2026-08-28,14,売,100,09:15:50,5361.67,09:22:13,5379,-1733.33,383,18.67,23.33,20,1,指値
1788057786507,5803,2026-08-28,15,買,100,09:22:19,5384,09:22:45,5399,1500,26,17,5,0,0,指値
1788057786507,5803,2026-08-28,16,売,100,09:23:09,5404,09:23:26,5393,1100,17,11,0,0,10,指値
1788057786507,5803,2026-08-28,17,買,100,09:24:26,5409.5,09:27:56,5389,-2050,210,9.5,21.5,2,0,指値
1788057786507,5803,2026-08-28,18,買,100,09:24:26,5401.17,09:32:09,5388,-1316.67,463,17.83,15.17,2,0,指値
